"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The smart money is record ‘short’ in stocks, and the dumb money is record ‘long’ https://t.co/AiZ5xCsWMU https://t.co/7nBnbc3MYn",FALSE,6,NA,2017-04-06 02:08:13,FALSE,NA,"849805914467127296",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",7,FALSE,FALSE,NA,NA
"2","Costco is under pressure from Wall Street to focus on e-commerce and compete with Amazon https://t.co/PwuLgMm8mr <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> https://t.co/sKTgDkWc0P",FALSE,15,NA,2017-04-06 01:53:16,FALSE,NA,"849802152532992000",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",6,FALSE,FALSE,NA,NA
"3","This is what Panera did to make its menu ‘clean’ https://t.co/mwDHq8kNGh",FALSE,11,NA,2017-04-06 01:39:11,FALSE,NA,"849798610057408512",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",6,FALSE,FALSE,NA,NA
"4","That screeching is the sound of Tesla shares hitting the brakes: https://t.co/uJsSLfbTSj",FALSE,3,NA,2017-04-06 01:29:54,FALSE,NA,"849796271149912064",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",5,FALSE,FALSE,NA,NA
"5","The rent is too damn high, to the detriment of these communities https://t.co/yQazEa6qxM",FALSE,7,NA,2017-04-06 01:20:45,FALSE,NA,"849793971228463105",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",9,FALSE,FALSE,NA,NA
"6","The No. 1 podcast in America is about dying without a will https://t.co/b0HrEtymWf https://t.co/cPu3QTlvWp",FALSE,10,NA,2017-04-06 01:06:33,FALSE,NA,"849790396599283712",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",8,FALSE,FALSE,NA,NA
"7","This country sent the most foreign fiancées to the U.S. in 2016 https://t.co/ORlg8i9mmS",FALSE,3,NA,2017-04-06 00:51:18,FALSE,NA,"849786559842877440",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",9,FALSE,FALSE,NA,NA
"8","San Francisco earns a dubious distinction, according to this research https://t.co/Gmp4z2BNxN https://t.co/rdcEi1HxSU",FALSE,29,NA,2017-04-06 00:36:45,FALSE,NA,"849782896990842880",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",26,FALSE,FALSE,NA,NA
"9","Louis C.K. says he regrets Hitler remark, but then he went on another rant https://t.co/KJVE2cipNu https://t.co/7Cztsk5v5c",FALSE,7,NA,2017-04-06 00:22:40,FALSE,NA,"849779352694861824",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",4,FALSE,FALSE,NA,NA
"10","Netflix thought stars were too confusing, so here's its new ratings system https://t.co/MRTMBdSYb0 https://t.co/lhE9r48lOM",FALSE,7,NA,2017-04-06 00:12:47,FALSE,NA,"849776864763793408",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",10,FALSE,FALSE,NA,NA
"11","PepsiCo is pulling its controversial new ad a day after being dragged through the wringer for its tone deaf message… https://t.co/Mu1Qx60V83",FALSE,14,NA,2017-04-06 00:02:49,TRUE,NA,"849774357010415620",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",8,FALSE,FALSE,NA,NA
"12","What’s behind all those upstart airlines and their stunningly low-cost Europe fares? https://t.co/IX3GNMAUtA https://t.co/Ctz0FiXVoy",FALSE,13,NA,2017-04-05 23:48:54,FALSE,NA,"849770855760617472",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",7,FALSE,FALSE,NA,NA
"13","Pepsi is bowing to public pressure and pulled its controversial Kendall Jenner commercial https://t.co/Ca63XGaDGY https://t.co/67Uv2GJJST",FALSE,17,NA,2017-04-05 23:34:08,FALSE,NA,"849767138676146176",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",11,FALSE,FALSE,NA,NA
"14","Trump told The New York Times that he thinks Susan Rice, Obama’s national security adviser, committed a crime… https://t.co/PM9fq3rVCX",FALSE,5,NA,2017-04-05 23:18:51,TRUE,NA,"849763291740110849",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",6,FALSE,FALSE,NA,NA
"15","Trump can call Syria attack ‘heinous,’ but he can’t act without Congress https://t.co/OIc1tfxnz7 https://t.co/irmRG3W2VO",FALSE,13,NA,2017-04-05 23:03:01,FALSE,NA,"849759309764362240",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MarketWatch",11,FALSE,FALSE,NA,NA
