"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I just checked in at Fifth Third Bank with #mPLUSPlaces Download today!  https://t.co/wwLbKVwwOk",FALSE,0,NA,2017-06-27 02:59:00,FALSE,NA,"879534500623118336",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","conradlori1004",0,FALSE,FALSE,NA,NA
"2","Mail Clerk - Fifth Third Bank - Cleveland, OH https://t.co/KbAC3WSQCa",FALSE,0,NA,2017-06-27 02:23:49,FALSE,NA,"879525644253753344",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","supra1Bqteam",0,FALSE,FALSE,NA,NA
"3","Lead CSR / Teller - Westchase BC - Full Time - Fifth Third Bank - Tampa, FL https://t.co/9okMDJZ4YE job tampa",FALSE,0,NA,2017-06-26 23:58:04,FALSE,NA,"879488966407344128",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","JobsTampa1",0,FALSE,FALSE,NA,NA
"4","Join Spigit, Kimberly-Clark &amp; Fifth Third Bank on June 28th for ""2017 Business Innovation Report"" https://t.co/1gQn5mW1fF",FALSE,0,NA,2017-06-26 23:33:00,FALSE,NA,"879482659180875783",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","IE_Shivanee",0,FALSE,FALSE,NA,NA
"5","I just checked in at Fifth Third Bank with #mPLUSPlaces Download today!  https://t.co/KMRUUojvBi",FALSE,0,NA,2017-06-26 22:54:08,FALSE,NA,"879472879078920193",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","RebaCarolyn",0,FALSE,FALSE,NA,NA
"6","@FifthThird Yah def not going to fifth third bank anymore #notproud",FALSE,0,"FifthThird",2017-06-26 20:28:09,FALSE,"870618532962238465","879436140037779456","231213589","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jonnyfakhouri",0,FALSE,FALSE,NA,NA
"7","I just checked in at Fifth Third Bank with #mPLUSPlaces Download today!  https://t.co/nokAx3ZSPQ",FALSE,0,NA,2017-06-26 20:23:02,FALSE,NA,"879434853363658757",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","gillbitz",0,FALSE,FALSE,NA,NA
"8","I'm at Fifth Third Bank in Medina, OH https://t.co/4cArZZzUkf",FALSE,0,NA,2017-06-26 19:30:53,FALSE,NA,"879421727780081669",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","BigDawgSwifty13",0,FALSE,FALSE,"-81.86298251","41.14933455"
"9","why is fifth third bank soooo far from my house",FALSE,0,NA,2017-06-26 19:11:21,FALSE,NA,"879416813012094980",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cammicola",0,FALSE,FALSE,NA,NA
"10","Fifth Third Bank Reduces Lighting-related Energy Consumption by 50% - Energy Manager Today https://t.co/DBUD4LnM6I https://t.co/ZbJoRnv4VP",FALSE,0,NA,2017-06-26 18:26:36,FALSE,NA,"879405549431009280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EPTech_",0,FALSE,FALSE,NA,NA
"11","I just checked in at Fifth Third Bank with #mPLUSPlaces Download today!  https://t.co/KXKB8lR0wG",FALSE,0,NA,2017-06-26 17:52:45,FALSE,NA,"879397033421000704",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","sweetpea32873",0,FALSE,FALSE,NA,NA
