"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@kaleparty You're welcome! Have a great weekend.",FALSE,1,"kaleparty",2017-06-23 20:13:57,FALSE,"878340183384633344","878345400922513408","4551771984","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","FifthThird",0,FALSE,FALSE,NA,NA
"2","@LynnSobrien2 Hi Lynn! You can learn more about the ways we're aiding communities within our footprint here: https://t.co/DF9BukyCJa",FALSE,2,"LynnSobrien2",2017-06-23 19:25:36,FALSE,"878052516159672320","878333236593688576","827899825232437248","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","FifthThird",1,FALSE,FALSE,NA,NA
"3","@kaleparty Glad you asked! We're focused on creating an inclusive workplace for all employees. Learn more here: https://t.co/UwDMIUbXZA",FALSE,4,"kaleparty",2017-06-23 19:25:36,FALSE,"878034868591931392","878333236262219776","4551771984","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","FifthThird",2,FALSE,FALSE,NA,NA
"4","@DerpysMuffin Here's how we look at it! Our logo is 5/3 which = 166.7%. That means we're obligated to put 166.7% effort into all we do!",FALSE,0,"DerpysMuffin",2017-06-23 19:25:00,FALSE,NA,"878333084051021824","3232157529","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","FifthThird",0,FALSE,FALSE,NA,NA
"5","@antflores I'm sorry to hear this - we'd like to help. Please DM your preferred phone # and best time to call you to discuss.",FALSE,0,"antflores",2017-06-23 18:13:30,FALSE,"878305813995036672","878315090566459392","26271617","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","FifthThird",0,FALSE,FALSE,NA,NA
"6","@jbwredsox This is great, thanks so much for sharing! We value your business.",FALSE,0,"jbwredsox",2017-06-23 18:10:45,FALSE,"878310868982915072","878314399651385345","3406938525","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","FifthThird",0,FALSE,FALSE,NA,NA
"7","@zjpritchett Zack - Thank you for sharing your thoughts with us. We'll be sure to share your feedback with the appropriate team.",FALSE,0,"zjpritchett",2017-06-23 17:00:46,FALSE,"878267181733171201","878296788246986753","612836565","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","FifthThird",0,FALSE,FALSE,NA,NA
"8","@honky Thanks for reaching out! Our profile photo was updated during the month of June in support and celebration of Pride month.",FALSE,1,"honky",2017-06-23 14:55:47,FALSE,"877962400800092161","878265331327709184","720360925","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","FifthThird",0,FALSE,FALSE,NA,NA
"9","@swampdarter Hi Terry - Some products vary by location. Here's a link to the rates: https://t.co/Z3AOBJO2u7",FALSE,0,"swampdarter",2017-06-23 14:55:16,FALSE,"877980248448659456","878265204454420481","56901446","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","FifthThird",0,FALSE,FALSE,NA,NA
"10","@zjpritchett Hi Zack -Please be assured that our site is secure. It is an issue with communication w/Chrome that we will investigate Thanks!",FALSE,0,"zjpritchett",2017-06-23 14:55:16,FALSE,"877952834083401733","878265204018216960","612836565","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","FifthThird",0,FALSE,FALSE,NA,NA
